Key,Id,Shared Comments,Chinese (Traditional)(zh-TW)
1,1,傳送到安全區,傳送到安全區
2,2,會穿越地面,會穿越地面
3,3,下個敵人一擊斃殺,下個敵人一擊斃殺
4,4,角色降一級,角色降一級
5,5,男生會顯示女生的裝備,男生會顯示女生的裝備
6,6,金幣歸零,金幣歸零
7,7,顯示密道,顯示密道
8,8,角色無法動彈,角色無法動彈
9,9,角色一碰就死,角色一碰就死
10,10,敵人立即死亡,敵人立即死亡
11,11,不需要消耗金幣,不需要消耗金幣
12,12,技能冷卻無法重置,技能冷卻無法重置
13,13,經驗值加倍,經驗值加倍
14,14,女主好感度歸零,女主好感度歸零
15,15,閃光彈只會閃到自己,閃光彈只會閃到自己
16,16,敵人打不死,敵人打不死
17,17,得到附近一位正妹的IG,得到附近一位正妹的IG
18,18,暫停對手時間,暫停對手時間
19,19,角色速度變慢,角色速度變慢
20,20,畫面全白5秒,畫面全白5秒
21,21,所有角色模型卡在 T-Pose 3秒,所有角色模型卡在 T-Pose 3秒
22,22,按下操作沒反應3秒,按下操作沒反應3秒
23,23,攻擊力上升,攻擊力上升
24,24,福利畫面出現馬賽克,福利畫面出現馬賽克
25,25,不會獲得經驗值,不會獲得經驗值
26,26,抽一張卡,抽一張卡
27,27,遊戲變成慢動作,遊戲變成慢動作
28,28,多一回合,多一回合
29,29,主角卡在 T-Pose 3秒,主角卡在 T-Pose 3秒
30,30,女主好感度升滿,女主好感度升滿
31,31,獲得大量金幣,獲得大量金幣
32,32,玩家立即死亡,玩家立即死亡
33,33,只能存檔一次,只能存檔一次
34,34,介面沒任何文字,介面沒任何文字
35,35,顯示貓咪的照片,顯示貓咪的照片
36,36,語音會變聲,語音會變聲
37,37,獲得關鍵道具,獲得關鍵道具
38,38,不會獲得金幣,不會獲得金幣
39,39,會扣一點生命值,會扣一點生命值
40,40,出牌順序倒轉,出牌順序倒轉
41,41,遊戲變成兩倍快變不回來,遊戲變成兩倍快變不回來
42,42,給親朋好友發送詐騙簡訊,給親朋好友發送詐騙簡訊
43,43,所有鎖定角色開放,所有鎖定角色開放
44,44,角色會站在原地3秒,角色會站在原地3秒
45,45,獲得一隻寵物貓,獲得一隻寵物貓
46,46,角色速度加快,角色速度加快
47,47,角色等提升一級,角色等提升一級
48,48,身上的道具越多血量越少,身上的道具越多血量越少
49,49,得到補血道具,得到補血道具
50,50,玩家會跳躍,玩家會跳躍
51,51,免疫下一次傷害,免疫下一次傷害
52,52,跳到結尾通關畫面,跳到結尾通關畫面
53,53,敵人會叫你一聲爸爸,敵人會叫你一聲爸爸
54,54,非常耗電,非常耗電
55,55,恢復生命值,恢復生命值
56,56,看穿牆壁後面的人,看穿牆壁後面的人
